claim_id,manuscript,lines,claim_summary,script_evidence,result_evidence,reproduction,status,limitation
I01,ICECET,"59;70;74;84;90;540",stationary per-round regenerated leakage,"provenance/original_f8_scripts/p2_round_constancy.py;provenance/original_f8_scripts/t8_direction.py;research/experiments/f8_fair_null_suite.py",research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",PARTIAL,"stationarity measurable; novelty and security meaning separate"
I02,ICECET,"59;117-184",13-family survey with five positive and eight immune,provenance/original_f8_scripts/,docs/original/,none,PARTIAL,"no unified retained 13-family run"
I03,ICECET,"59;74;128-131;184;488;542",full-round Speck known-key distinguisher,"provenance/original_f8_scripts/t6_variants.py;research/experiments/f8_fair_null_suite.py",research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",CONTRADICTED,"uniform state plus one round reproduces signal"
I04,ICECET,"59;132;184;490;542",Threefish full-round distinguisher at all 72 rounds,"provenance/original_f8_scripts/informed_threefish.py;research/experiments/f8_fair_null_suite.py",research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",CONTRADICTED,"local one-round control reproduces signal; historical script samples nine round counts"
I05,ICECET,"59;273-325;540",MI beta exponential law R2 0.999997,"provenance/original_f8_scripts/p5b_beta_fine.py;research/experiments/f8_fair_null_suite.py",research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",PARTIAL,"historical raw fit absent; new beta tail retained"
I06,ICECET,"59;351-368;540",necessary and sufficient topology condition,provenance/original_f8_scripts/arx_topology_sweep.py,docs/original/findings3.md,"python provenance/original_f8_scripts/arx_topology_sweep.py",PARTIAL,"six selected constructions do not prove iff"
I07,ICECET,"59;375-377;540",exactly two leakage mechanisms,"provenance/original_f8_scripts/p3_bitlevel_mi.py;provenance/original_f8_scripts/informed_threefish.py",docs/original/,none,PARTIAL,"patterns exist but exhaustiveness unproved"
I08,ICECET,"59;74;453-479;540",universal compiler validated 9 of 9,provenance/original_f8_scripts/p6_predictions.py,none,"python provenance/original_f8_scripts/p6_predictions.py",CONTRADICTED,"cases and measurements are hard-coded; compiler absent from packaged API"
I09,ICECET,"59;207-223;542",strictly encrypt-only ratio over 3000,provenance/original_f8_scripts/inverse_speck.py,docs/original/findings4.md,"python provenance/original_f8_scripts/inverse_speck.py",PARTIAL,"asymmetric composition control and no raw output"
I10,ICECET,"59;138;180;251-259;492;542",SPARX ARX-box and sole protection layer,"provenance/original_f8_scripts/informed_sparx_internal.py;provenance/original_f8_scripts/sparx_inversion.py",docs/original/,none,PARTIAL,"simplified inconsistent SPARX implementations; no KAT"
I11,ICECET,"59;74;263-267;542",SIMON and random Feistel prove addition necessary,"provenance/original_f8_scripts/t5_simon.py;provenance/original_f8_scripts/t3_heatmap.py",docs/original/,none,PARTIAL,"two controls do not prove universal necessity"
I12,ICECET,"59;121-142;184",eight families immune and no false positives,provenance/original_f8_scripts/,docs/original/,none,PARTIAL,"non-detection is not immunity"
I13,ICECET,107,black-box Z 1.591 versus informed Z 1.699,none,docs/original/F8_COMPLETE.md,none,PARTIAL,"exact numbers only narrative"
I14,ICECET,"188-200",stationary rates R5-R30,provenance/original_f8_scripts/p2_round_constancy.py,docs/original/,"python provenance/original_f8_scripts/p2_round_constancy.py",PARTIAL,"no retained historical raw output"
I15,ICECET,229,direction rates prove forward causality,provenance/original_f8_scripts/t8_direction.py,docs/original/,none,PARTIAL,"asymmetry does not alone establish causality"
I16,ICECET,231,key schedule contributes nothing,provenance/original_f8_scripts/t7_key_ablation.py,docs/original/,none,PARTIAL,"only three modes tested; no raw output"
I17,ICECET,233,independent of N 1000 to 100000,provenance/original_f8_scripts/t9_nscaling.py,docs/original/,none,PARTIAL,"no retained raw output"
I18,ICECET,"237-257",Chaskey HIGHT and LEA frontiers,provenance/original_f8_scripts/informed_chaskey.py;provenance/original_f8_scripts/informed_hight.py;provenance/original_f8_scripts/informed_lea.py,docs/original/,none,PARTIAL,"script-only narrative evidence"
I19,ICECET,"278;304-325",alpha independence and universal beta death at five,"provenance/original_f8_scripts/p6b_ws_threshold.py;research/experiments/f8_fair_null_suite.py",research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",CONTRADICTED,"MI remains positive below the fixed threshold at beta 5-8"
I20,ICECET,377,Threefish diagonal MI 0.9999 to noise at bit five,provenance/original_f8_scripts/informed_threefish.py,docs/original/,none,PARTIAL,"no retained raw heatmap"
I21,ICECET,"82;383-445",Gohr falls to chance at R6,provenance/original_f8_scripts/gohr_comparison.py,docs/original/findings4.md,none,CONTRADICTED,"local model is explicitly simplified and not Gohr reproduction"
I22,ICECET,449,CASI full-round clean and F8 complementary,"provenance/original_nano_scripts/sweep_runner.py;src/arx_carry_leak/f8.py",data/reference/nano_iot_raw/speck/,none,PARTIAL,"separate measurements exist; F8 security game unresolved"
